LEI;ISIN
549300CAZKPF4HKMPX17;US71654QAG73
Q9MAIUP40P25UFBFG033;CH1227937690
529900K6JN1RFIK2RI18;CH0002099569
QXZYQNMR4JZ5RIRN4T31;US141781AE43
549300TM1DLIQI3B3T37;SE0000107203
5493003DNMEAO1DT3F51;CH0001639852
5493002Y01YAFV45F528;US00037BAA08
5493000LKVGOO9PELI61;CH0012221716
549300DAQ1CVT6CXN342;DK0062498333
TP9WEQL6JOF6GP647G47;US1536091028
WHKXQACZ14C5XRO8LW03;US40434L1052
HL3H1H2BGXWVG3BSWR90;CH0243069363
IM7X0T3ECJW4C1T7ON55;US6745991058
JV2JER17NREZV7X2CW05;US74835NAA37
54930073EOGSPR8HDH46;US74835WAA36
5493007M02M6CT9EXE41;US665501AC67
54930088VDQ6840Y6597;US4435106079
549300Y8RLCD6IQXIT35;US195869AC61
QU1REPBU7XVW5MIAXS70;US09700PAA66
RVHJWBXLJ1RFUBSY1F30;US0970231058
9C1X8XOOTYY2FNYTVH06;US3695501086
ISRPG12PN4EIEOEMW547;US019512AL63
MP3J6QPYPGN75NVW2S34;US4943681035
549300FMC2ALGA7N9E80;US2600031080
5299008QCD0YDT5OF506;JP3351600006
549300873K3LXF7ARU34;US1156371007
549300ZHW0TR2QZ0NY83;DE0008647488
K8TS3HOE1568DUBUJL44;US49338CAA18
83BQ1DXS6VA5GZFK8S35;US114259AN42
549300GGJCRSI2TIEJ46;US6703461052
WPTL2Z3FIYTHSP5V2253;US208251AC27
6VJJ5GQWIRDQ06DUXG89;US20826FAA49
213800LH1BZH3DI6G760;DE0008618737
549300CEE2ENIUJNXB84;JP3635000007
0RL818ELFOHP5JHOFU19;US0103922078
D981X4Z4RWS7PDMJUZ03;US3733342006
BLVY3B5CY5IDPCFLQ577;US4024792081
LNZ0J6YZ5SC6ILIRU850;US6054172035
549300FC3G3YU2FBZD92;US8425871071
549300QE8CNT261U1W16;US842903AA43
5493002DGRU2CP8MZE54;US842808AE78
9884007ER46L6N7EI764;US0019071044
UE2136O97NLB5BYP9H04;CH0338330456
5493003MO7QE8VJUEP94;US8265521018
529900H5794LNXNOYH10;US2077971016
549300NXSY15DRY2R511;US505597AA21
06LJQCOVPRXOPDHFC707;US84859DAA54
5493004LQ0B4T7QPQV17;JP3304200003
724500SNT1MK246AHP04;NL0000009827
Z15BMIOX8DDH0X2OBP21;US8243481061
EDBQKYOPJUCJKLOJDE72;US14911Q2A88
WRJR7GS4GTRECRRTVX92;FR0010844415
549300EFP3TNG7JGVE49;CH0198251305
ZU69GUVJQGZ6Z1UOOO79;US74005PAH73
549300JWGMJO03H0G857;KYG1899E1465
988400QG33WS7JEIV602;US5006311063
9884008CRY5MLCN8OQ43;CH0485445958
9884001B6VSIQS4ZY558;US50065AAA25
529900TRW25C535YJ717;AT0000A10R34
82DYEISM090VG8LTLS26;US2788651006
635400IUIZZIUJSAMF76;SE0020848117
549300LMZF40TKJ6DM64;US74460D1173
549300DJ09SMTO561131;US091797AH31
549300XS4HD3R8MDYK78;US0673831097
213800UNJSVQFNUYYW03;US00386SAA06
VXB4M3BDPKF3I2AZ3G89;US7201861058
7260JQNI6SCF9FIV2392;US90130A3095
98840035IHSMZZ2TP220;CH1271360633
PWFTNG3EI0Y73OXWDH08;US2441991054
E0KSF7PFQ210NWI8Z391;US244217AZ85
KNIRVXKVNJJ4P8OTMS63;US7974401041
XY0N0J73VHV5F4CUJV89;CH0008977131
E1OI0SEUGJMPPTKRDD35;US931422AD19
549300D3EIDZJB62TR20;US6834201039
XO75O7GICH1NPWLBRL05;US774341AA97
213800KV4UPUMKNZF512;SE0019176934
529900N8OA1GVSR5R946;AT0000A0T8S8
353800VHYYADPR6MXQ47;JP3294460005
MSD54751OJP1FS2ND863;US4404521001
LAXUQCHT4FH58LRZDY46;CH0195288193
HCHV7422L5HDJZCRFL38;CH1331113477
7QEON6Y1RL5XR3R1W237;US0091581068
5493007JDSMX8Z5Z1902;US1344291091
ZXTILKJKG63JELOEG630;US0231351067
213800T8PC8Q4FYJZR07;SE0000149361
21X2CX66SU2BR6QTAD08;US4278661081
OML71K8X303XQONU6T67;US2786421030
549300Q3448N041CTH56;IT0001207098
549300VFZ8XJ9NUPU221;US29736RAA86
JE4WFFEELMVPFZ0G1E77;JP3112000009
I07WOS4YJ0N7YRFE7309;US75513E1010
FJSUNZKFNQ5YPJ5OT455;CH0008941319
WAFCR4OKGSC504WU3E95;US5486611073
9884003WEA1PHW006037;US78440P1167
5493005SP87FL5TOS202;JP3407400005
969500ASEC557H5A4F22;CH0244717978
