A NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN
AAL "ANGLO AMERICAN PLC" "Metals and Mining - Non-Precious Metals" BBB A A AA AA Apr-20 Dec-20 Aug-21 Aug-22 Sep-23
AAP NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN
AAPL "APPLE INC." "Technology Hardware, Storage & Peripherals" A BBB A BBB BBB Nov-19 Dec-20 Dec-21 Nov-22 Dec-23
ABBV "ABBVIE INC." Biotechnology A BBB BBB BBB BBB Aug-20 Apr-21 Dec-21 Dec-22 Oct-23
601288 "AGRICULTURAL BANK OF CHINA LIMITED" Banks BB BBB BBB A AA Jun-19 May-20 Jul-21 Nov-22 Dec-23
ABT "ABBOTT LABORATORIES" "Health Care Equipment & Supplies" BBB BB BB A BBB Nov-19 Dec-20 Nov-21 Aug-22 Aug-23
ACGL "ARCH CAPITAL GROUP LTD." "Property & Casualty Insurance" BB BB BBB BBB BBB Jun-18 Jul-19 May-20 May-22 Jul-23
ACN "ACCENTURE PUBLIC LIMITED COMPANY" "Software & Services" AAA A AA AA AA Feb-20 Dec-20 Dec-21 Dec-22 Aug-23
ADBE "ADOBE INC." "Software & Services" AA AA AAA AAA AAA Sep-19 Sep-20 Dec-21 May-22 Jun-23
ADS "ADIDAS AG" "Textiles, Apparel & Luxury Goods" AAA AAA AAA AAA AAA Jul-19 Jul-20 Aug-21 Feb-22 Nov-23
ADM "ADMIRAL GROUP PLC" "Property & Casualty Insurance" BBB BBB A AA AA Jun-19 Apr-20 Aug-20 Aug-22 Aug-23
ADP "AUTOMATIC DATA PROCESSING, INC." "Professional Services" A AAA AAA AAA AAA Sep-19 Oct-20 Nov-21 Dec-22 Dec-23
ADSK "AUTODESK, INC." "Software & Services" AA AA AA AAA AAA Oct-19 Dec-20 Sep-21 Sep-22 Jul-23
AEE "AMEREN CORPORATION" Utilities BBB A A A A Nov-19 Dec-20 Dec-21 Oct-22 Aug-23
AEP "AMERICAN ELECTRIC POWER COMPANY, INC." Utilities A A A A A Jun-19 Jun-20 Aug-21 Sep-22 May-23
AES "THE AES CORPORATION" Utilities A AA A AA AA Aug-18 Nov-19 Dec-20 Feb-22 Apr-23
AFL "AFLAC INCORPORATED" "Life & Health Insurance" B BB BBB BBB BBB May-18 Sep-19 May-20 Jan-22 Jun-23
AIG "AMERICAN INTERNATIONAL GROUP, INC." "Multi-Line Insurance & Brokerage" BB BB BBB BBB BBB Sep-19 Aug-20 Feb-21 Nov-22 Dec-23
AIZ "ASSURANT, INC." "Property & Casualty Insurance" BB BB BBB A A Mar-19 Jan-20 Jul-20 Aug-22 Jun-23
AJG "ARTHUR J. GALLAGHER & CO." "Multi-Line Insurance & Brokerage" BBB BBB BBB BBB BBB Aug-18 Sep-19 Aug-20 Oct-22 May-23
AKAM "AKAMAI TECHNOLOGIES, INC." "Software & Services" BBB BBB A AA AA Oct-19 Sep-20 Jun-21 Sep-22 Jun-23
1140 "BANK ALBILAD SJSC" Banks BB BBB BBB BBB BBB Feb-20 May-20 Oct-21 Dec-22 May-23
ALGN "ALIGN TECHNOLOGY, INC." "Health Care Equipment & Supplies" A BBB BBB A A Apr-19 Mar-20 Mar-21 May-22 May-23
ALK NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN
ALLE "ALLEGION PUBLIC LIMITED COMPANY" "Building Products" AA AA AA AA AA Feb-20 Feb-21 Jun-21 Jul-22 Jul-23
ALLE NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN
AMAT "APPLIED MATERIALS, INC." "Semiconductors & Semiconductor Equipment" AA AA AA AA AAA Jan-19 Jan-20 Jan-21 May-22 Sep-23
AMCR NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN
AMD "ADVANCED MICRO DEVICES, INC." "Semiconductors & Semiconductor Equipment" BBB BBB A A AA Jan-20 Jun-20 Sep-21 Sep-22 May-23
AME NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN
AMGN "AMGEN INC." Biotechnology AA AA AA AA AA May-20 Apr-21 Oct-21 Dec-22 Nov-23
ALD "AMPOL LIMITED" "Oil & Gas Refining, Marketing, Transportation & Storage" A A A AA AA Jul-19 Jun-20 Oct-21 Jun-22 May-23
AMT "AMERICAN TOWER CORPORATION" "Telecommunication Services" A AA AA AA AA Jan-20 Jan-21 Dec-21 Nov-22 Aug-23
AMZN "AMAZON.COM, INC." "Retail - Consumer Discretionary" BBB BBB BBB A BBB Apr-20 Dec-20 Dec-21 Dec-22 Aug-23
ANET "ARISTA NETWORKS, INC." "Technology Hardware, Storage & Peripherals" BBB BBB BBB A A May-19 Apr-20 Mar-21 May-22 Jun-23
ANSS "ANSYS, INC." "Software & Services" A A AA AA AA Jul-19 Apr-20 Apr-21 Aug-22 Jun-23
AON "Aon plc" "Multi-Line Insurance & Brokerage" BB BB BB BB BBB Jul-18 Aug-19 Jul-20 Jul-22 Aug-23
AOS "A. O. SMITH CORPORATION" "Building Products" BBB BBB A BBB BBB Feb-20 Feb-21 Jun-21 Oct-22 May-23
MAA "MID-AMERICA APARTMENT COMMUNITIES, INC." "Real Estate Management & Services" BBB BB BB BB BBB Jun-19 May-20 May-21 May-22 May-23
APD "AIR PRODUCTS AND CHEMICALS, INC." "Specialty Chemicals" BBB BBB BBB BBB BBB Mar-19 Feb-20 Feb-21 Feb-22 Mar-23
APH "AMPHENOL CORPORATION" "Electronic Equipment, Instruments & Components" BBB BBB BBB BBB A Aug-19 Aug-20 Oct-21 Jun-22 May-23
APTV "APTIV PLC" "Auto Components" A AA AA AA AA Aug-19 Jun-20 Sep-21 Dec-22 May-23
ARES "ARES MANAGEMENT CORPORATION" "Asset Management & Custody Banks" BB B BB BB BB Jan-19 Aug-19 Aug-20 Aug-22 Sep-23
ATO "ATMOS ENERGY CORPORATION" Utilities BB BBB A A A Feb-19 Feb-20 Mar-21 Oct-22 May-23
ATVI NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN NAN
AVB "AVALONBAY COMMUNITIES, INC." "Real Estate Management & Services" BBB BB BBB A A Nov-19 Dec-20 Nov-21 Aug-22 May-23
AVGO "BROADCOM INC." "Semiconductors & Semiconductor Equipment" B B BB BBB A May-19 Mar-20 Apr-21 May-22 May-23
AVY "AVERY DENNISON CORPORATION" "Containers & Packaging" BBB BB BBB AA AA Mar-19 Feb-20 Apr-21 Dec-22 Dec-23
AWK "AMERICAN WATER WORKS COMPANY, INC." Utilities BBB BBB A A AA Sep-20 Dec-20 Dec-21 Dec-22 May-23
AXON "AXON ENTERPRISE, INC." "Aerospace & Defense" BBB A AA AA AA Aug-19 Apr-20 Jun-21 Jan-23 Feb-24
AXP "AMERICAN EXPRESS COMPANY" "Consumer Finance" AA AA AA AA AA Feb-19 Jan-20 Sep-21 Nov-22 Sep-23
AZO "AUTOZONE, INC." "Retail - Consumer Discretionary" B BB BBB A A Feb-20 Mar-21 May-22 Jan-23 Jan-24
BAER "Julius Baer Gruppe AG" "Asset Management & Custody Banks" A A A AA AA May-18 Jul-19 Jun-20 Jun-22 Jun-23
BANB "Bachem Holding AG" "Health Care Equipment & Supplies" BB BBB BBB BBB BBB Dec-19 Dec-20 Dec-21 Dec-22 Oct-23
BALL "BALL CORPORATION" "Containers & Packaging" A A AA AA AA Jan-20 Jan-21 Jul-21 Aug-22 Sep-23
BAX "BAXTER INTERNATIONAL INC." "Health Care Equipment & Supplies" BB BBB A A A Nov-19 Dec-20 Dec-21 Dec-22 Oct-23
BBWI "BATH & BODY WORKS, INC." "Retail - Consumer Discretionary" BB BB BBB A A Jul-19 May-20 May-21 Dec-22 Jun-23
BBY "BEST BUY CO., INC." "Retail - Consumer Discretionary" AAA AAA AAA AAA AAA May-20 Sep-20 Aug-21 Dec-22 Aug-23
BDX "BUDIMEX SPOLKA AKCYJNA" "Construction & Engineering" BBB BBB A AA AA Feb-19 Feb-20 Mar-21 Jun-22 Jun-23
RKT "RECKITT BENCKISER GROUP PLC" "Household & Personal Products" A A AA AA AA Aug-19 Jul-20 Apr-21 May-22 May-23
BF.B "BROWN-FORMAN CORPORATION" Beverages A AA AA A AA Dec-19 Dec-20 Dec-21 Oct-22 Dec-23
BG "Bunge Global SA" "Food Products" AAA AAA AAA AAA AAA Nov-19 Jun-20 Dec-21 Nov-22 Dec-23
BIIB "BIOGEN INC." Biotechnology A AA AA AA AA Mar-20 Mar-21 Sep-21 Dec-22 Dec-23
BIM "BIOMERIEUX SA" "Health Care Equipment & Supplies" BBB A AA AA AA Mar-20 Jul-20 Oct-21 Dec-22 Oct-23
BKW "BKW AG" Utilities A A BBB BBB BBB Jan-19 Jan-20 Jan-21 Nov-22 Jun-23
BKNG "BOOKING HOLDINGS INC." "Hotels & Travel" BBB BBB BBB A A Nov-19 May-20 Aug-21 Sep-22 Aug-23
BKR "BAKER HUGHES COMPANY" "Energy Equipment & Services" AAA AA AA AA AA Dec-19 Nov-20 Nov-21 Jul-22 Jun-23
BLK "BLACKROCK, INC." "Asset Management & Custody Banks" AA AA AA A A Jun-19 May-20 Dec-21 Jan-23 Feb-24
