Updated at 17:45:55;Constituent Name;Constituent RIC;NCAIS;ESG_Grade_01/01/2021;ESG_Grade_01/01/2022;ESG_Grade_01/01/2023;ESG_Grade_01/01/2024;ESG_Score_01/01/2021;ESG_Score_01/01/2022;ESG_Score_01/01/2023;ESG_Score_01/01/2024;Social_Score_01/01/2021;Social_Score_01/01/2022;Social_Score_01/01/2023;Social_Score_01/01/2024;Governance_Score_01/01/2021;Governance_Score_01/01/2022;Governance_Score_01/01/2023;Governance_Score_01/01/2024;Environment_Score_01/01/2021;Environment_Score_01/01/2022;Environment_Score_01/01/2023;Environment_Score_01/01/2024;Controversies_Score_01/01/2021;Controversies_Score_01/01/2022;Controversies_Score_01/01/2023;Controversies_Score_01/01/2024
.SPX;AGILENT TECHNOLOGIES ORD;A.N;31-33;A;A;A;A-;87,87987499;86,58559046;87,64643422;81,9040732;94,11341561;93,50536404;90,95954671;93,1775456;83,47399347;80,80892861;86,94262092;67,8583484;79,73356009;79,44050467;79,8068953;80,1947578;100;100;100;100
.SPX;AMERICAN AIRLINES GROUP INC.;AAL.OQ;48-49;B;B;B+;B+;58,97841892;61,62628517;70,8478809;70,8478809;61,75669494;56,98701256;76,88999936;76,88999936;61,44922265;76,08551687;67,66065233;67,66065233;53,01383399;54,69065657;65,65868772;65,65868772;10,34482759;4,838709677;1,020408163;1,020408163
.SPX;APPLE ORD;AAPL.OQ;31-33;B+;B+;A-;A-;70,91590369;68,88280645;75,64772701;79,63828031;68,32303831;65,39703685;76,81759463;78,74431087;88,23157059;82,49837267;83,62231031;93,00252654;55,68583535;60,00367394;63,57471033;65,51427945;6,25;5;4,545454545;3,846153846
.SPX;ABBVIE ORD SHS;ABBV.N;31-33;A-;A-;A-;A-;78,38530679;80,78766081;80,5771169;80,5771169;91,27347672;95,49859003;95,55590267;95,55590267;64,58061289;63,28304742;63,65948678;63,65948678;70,94536128;74,67849753;73,12166272;73,12166272;44,79166667;23,52941176;4,794520548;4,794520548
.SPX;AIRBNB ORD SHS CLASS A;ABNB.OQ;51;NULL;C-;C-;C-;NULL;25,83952375;30,73100285;30,73100285;NULL;50,54813257;53,36584636;53,36584636;NULL;6,082720656;15,65032354;15,65032354;NULL;20,77267542;16,02954972;16,02954972;NULL;21,66666667;12,63157895;12,63157895
.SPX;ABBOTT LABS ORD;ABT.N;31-33;A-;A-;A-;A-;81,71670397;80,78244676;83,27994765;83,27994765;84,09581949;84,23788065;87,06336152;87,06336152;80,80086734;77,8373527;80,37217869;80,37217869;76,96670654;77,34410269;78,83624914;78,83624914;100;50;4,032258065;4,032258065
.SPX;ARCH CAPITAL GROUP ORD;ACGL.OQ;52;C+;B;B;B;42,30110211;58,74175345;59,67019541;59,67019541;34,43061878;62,7097657;61,20987101;61,20987101;57,89915966;61,30716049;64,116997;64,116997;23,05362113;37,15748944;40,94092606;40,94092606;41,25;65,85365854;100;100
.SPX;ACCENTURE PLC-A ORD;ACN.N;54;A-;A-;A-;A-;78,78365225;79,93279359;82,75307429;82,51906779;78,30814099;78,96912844;78,89051979;77,95351599;79,3892829;81,45325596;87,53123067;87,69477602;78,12977687;77,63066153;77,91284837;78,37153162;100;100;76,31578947;81,06060606
.SPX;ADOBE INC ORD;ADBE.OQ;51;B;B+;B+;B+;65,60589849;74,63256326;74,78223083;69,66291996;75,22344679;76,44635489;76,68330265;75,65206418;54,09017473;72,42457651;72,62251937;62,4999933;76,38571864;76,78626534;76,52448879;76,34828;81,63265306;100;100;28,78787879
.SPX;ANALOG DEVICES ORD;ADI.OQ;31-33;B+;B+;B+;B+;72,29534325;73,16085778;72,69646627;67,61003333;66,97667996;66,29295869;74,4383537;67,22149364;65,8081931;71,94447857;58,57375444;76,22902686;85,01446373;83,61786836;82,07029756;60,96178081;100;39,28571429;100;100
