Name Tag Score Industry
"Agilent Technologies" A 59 "LIF Life Sciences Tools & Services"
"American Airlines Group" AAL 70 "AIR Airlines"
"Advance Auto Parts" AAP 27 "RTS Retailing"
Apple AAPL 27 "REI Equity Real Estate Investment Trusts (REITs)"
Abbvie ABBV 68 "BTC Biotechnology"
Amerisourcebergen ABC NA NA
"Abbott Laboratories" ABT 75 "MTC Health Care Equipment & Supplies"
"Arch Capital Group" ACGL 35 "INS Insurance"
Accenture ACN 60 "TSV IT services"
Adobe ADBE 59 "SOF Software"
"Analog Devices" ADI 44 "SEM Semiconductors & Semiconductor Equipment"
"Archer Daniels Midland" ADM NA NA
"Automatic Data Processing" ADP 38 "PRO Professional Services"
Autodesk ADSK 56 "SOF Software"
"Ameren Corporation" AEE 37 "MUW Multi and Water Utilities"
"American Electric Power" AEP 49 "ELC Electric Utilities"
Aes AES 76 "ELC Electric Utilities"
Aflac AFL 40 "INS Insurance"
"American International Group" AIG 39 "INS Insurance"
Assurant AIZ 40 "INS Insurance"
"Arthur J Gallagher &" AJG NA NA
"Akamai Technologies" AKAM 60 "TSV IT services"
Albemarle ALB 60 "CHM Chemicals"
"Align Technology" ALGN 28 "MTC Health Care Equipment & Supplies"
"Alaska Air Group" ALK 46 "AIR Airlines"
Allstate ALL 52 "INS Insurance"
Allegion ALLE 37 "BLD Building Products"
"Applied Materials" AMAT 51 "SEM Semiconductors & Semiconductor Equipment"
Amcor AMCR 63 "CTR Containers & Packaging"
"Advanced Micro Devices" AMD 53 "SEM Semiconductors & Semiconductor Equipment"
Ametek AME 43 "ELQ Electrical Components & Equipment"
Amgen AMGN 48 "BTC Biotechnology"
"Ameriprise Financial" AMP 36 "FBN Diversified Financial Services and Capital Markets"
"American Tower" AMT 44 "REI Equity Real Estate Investment Trusts (REITs)"
Amazon.com AMZN 26 "RTS Retailing"
"Arista Networks" ANET 39 "CMT Communications Equipment"
Ansys ANSS 47 "SOF Software"
"Aon  Class" AON NA NA
"Smith (.O.)" AOS NA NA
Apa APA NA NA
"Air Products & Chemicals" APD NA NA
Amphenol APH 42 "ITC Electronic Equipment, Instruments & Components"
Aptiv APTV NA NA
"Alexandria Real Estate Equit" ARE 56 "REI Equity Real Estate Investment Trusts (REITs)"
"Atmos Energy" ATO 24 "GAS Gas Utilities"
"Activision Blizzard" ATVI 28 "IMS Interactive Media, Services & Home Entertainment"
"Avalonbay Communities" AVB 43 "REI Equity Real Estate Investment Trusts (REITs)"
Broadcom AVGO 28 "SEM Semiconductors & Semiconductor Equipment"
"Avery Dennison" AVY 46 "CTR Containers & Packaging"
"American Water Works" AWK 48 "MUW Multi and Water Utilities"
"Axon Enterprise" AXON 31 "ARO Aerospace & Defense"
"American Express" AXP 38 "FBN Diversified Financial Services and Capital Markets"
Autozone AZO 23 "RTS Retailing"
Boeing BA 42 "ARO Aerospace & Defense"
"Bank of America" BAC 53 "BNK Banks"
Ball BALL 69 "CTR Containers & Packaging"
"Baxter International" BAX 59 "MTC Health Care Equipment & Supplies"
"Bath & Body Works" BBWI 27 "RTS Retailing"
"Best Buy" BBY 53 "RTS Retailing"
"Becton Dickinson and" BDX NA NA
"Franklin Resources" BEN 33 "FBN Diversified Financial Services and Capital Markets"
"Brown Forman  Class" BF.B NA NA
Bunge BG 38 "FOA Food Products"
Biogen BIIB 69 "BTC Biotechnology"
"Bio Rad Laboratories" BIO NA NA
"Bank of New York Mellon" BK 51 "FBN Diversified Financial Services and Capital Markets"
"Booking Holdings" BKNG 31 "TRT Hotels, Resorts & Cruise Lines"
"Baker Hughes" BKR 59 "OIE Energy Equipment & Services"
Blackrock BLK 47 "FBN Diversified Financial Services and Capital Markets"
"Bristol Myers Squibb" BMY NA NA
"Broadridge Financial Solutio" BR 41 "PRO Professional Services"
"Berkshire Hathaway" BRK-A 17 "FBN Diversified Financial Services and Capital Markets"
"Brown & Brown" BRO 24 "INS Insurance"
"Boston Scientific" BSX 57 "MTC Health Care Equipment & Supplies"
Borgwarner BWA 44 "ATX Auto Components"
