Symbol Score
A 14
AAL 26
AAP 12
AAPL 17
ABBV 30
ABC NA
ABT 25
ACGL 22
ACN 10
ADBE 13
ADI 23
ADM 32
ADP 14
ADSK 17
AEE 27
AEP 26
AES 27
AFL 18
AIG 24
AIZ 24
AJG 21
AKAM 17
ALB 27
ALGN NA
ALK NA
ALL 22
ALLE 22
AMAT 13
AMCR NA
AMD NA
AME 24
AMGN 22
AMP 20
AMT 11
AMZN 31
ANET 17
ANSS 16
AON NA
AOS 25
APA 39
APD 12
APH 20
APTV 11
ARE 14
ATO 35
ATVI NA
AVB 10
AVGO 20
AVY 16
AWK 22
AXON NA
AXP 19
AZO 11
BA 40
BAC 28
BALL 12
BAX 24
BBWI 28
BBY 16
BDX 24
BEN 18
BF.B NA
BG 33
BIIB 22
BIO 17
BK 21
BKNG 19
BKR NA
BLK 18
BMY 23
BR 17
BRK-A NA
BRO 20
BSX 23
BWA 13
BXP 13
C 29
CAG 31
CAH 15
CARR NA
CAT 36
CB 24
CBOE 21
CBRE 8
CCI 10
CCL 24
CDAY NA
CDNS 12
CDW 9
CE 26
CEG NA
CF 29
CFG 24
CHD 20
CHRW 19
CHTR 25
CI 12
CINF 26
CL 26
CLX 22
CMA 25
CMCSA 23
CME 18
CMG 21
CMI 19
CMS 22
CNC 20
CNP 29
COF 23
COO 17
COP 34
COST 23
CPB 24
CPRT 16
CPT 16
CRL NA
CRM 15
CSCO 14
CSGP 22
CSX 22
CTAS 18
CTLT NA
CTRA 36
CTSH 15
CTVA NA
CVS 22
CVX 37
CZR NA
D 26
DAL 30
DD 29
DE 20
DFS 23
DG 18
DGX 21
DHI 21
DHR 12
DIS 16
DLR 13
DLTR 20
DOV 26
DOW NA
DPZ 29
DRI 27
DTE 30
DUK 27
DVA 23
DVN 34
DXC 15
DXCM 24
EA 13
EBAY 18
ECL 20
ED 24
EFX 23
EG 18
EIX 28
EL 25
ELV 11
EMN 25
EMR 28
ENPH NA
EOG 34
EPAM NA
EQIX 14
EQR 12
EQT 36
ES 19
ESS 12
ETN 18
ETR 27
ETSY NA
EVRG NA
EW 19
EXC 23
EXPD 17
EXPE 28
EXR 15
F 22
FANG NA
FAST 25
FCX 32
FDS 18
FDX 20
FE 26
FFIV 17
FI 20
FICO NA
FIS 17
FITB 17
FLT 18
FMC 31
FOX NA
FOXA NA
FRT 12
FSLR NA
FTNT 19
FTRE NA
FTV 35
GD 35
GE 41
GEHC NA
GEN 17
GILD 23
GIS 21
GL 20
GLW 16
GM 29
GNRC NA
GOOG NA
GOOGL 24
GPC 14
GPN 21
GRMN 21
GS 25
GWW 16
HAL 26
HAS 7
HBAN 22
HCA 29
HD 13
HES 33
HIG 17
HII NA
HLT 18
HOLX 25
HON 29
HPE 11
HPQ 11
HRL 30
HSIC 14
HST 13
HSY 26
HUM 22
HWM NA
IBM 14
ICE 20
IDXX 19
IEX 29
IFF 23
ILMN 19
INCY 25
INTC 19
INTU 16
INVH NA
IP 24
IPG 10
IQV 19
IR NA
IRM 15
ISRG 21
IT 19
ITW 25
IVZ 23
J 22
JBHT 15
JCI 14
JKHY 19
JNJ 24
JNPR 15
JPM 29
K 28
KDP NA
KEY 21
KEYS 8
KHC 34
KIM 11
KLAC 17
KMB 28
KMI 19
KMX 12
KO 22
KR 21
L 16
LDOS 18
LEN 25
LH 20
LHX NA
LIN NA
LKQ 11
LLY 24
LMT 30
LNC 18
LNT 21
LOW 12
LRCX 14
LUV 31
LVS 19
LW NA
LYB 21
LYV NA
MA 17
MAA 13
MAR 21
MAS 22
MCD 26
MCHP 32
MCK 15
MCO 16
MDLZ 22
MDT 23
MET 16
META 34
MGM 25
MHK 14
MKC 26
MKTX NA
MLM 30
MMC 21
MMM 37
MNST 29
MO 31
MOH NA
MOS 34
MPC 30
MPWR NA
MRK 21
MRNA NA
MRO 38
MS 25
MSCI 16
MSFT 15
MSI 13
