legalentityidentifier;obligorname
549300OPK0T2365Q6837;Flint Hills Resources LP
549300CAZKPF4HKMPX17;Petroleos Mexicanos (PEMEX)
Q9MAIUP40P25UFBFG033;E.ON SE
529900K6JN1RFIK2RI18;Migros - Genossenschafts-Bund
QXZYQNMR4JZ5RIRN4T31;Cargill Inc.
549300TM1DLIQI3B3T37;Industrivarden, AB
5493003DNMEAO1DT3F51;ABB Asea Brown Boveri Ltd.
549300J93WR5DPG0P466;ABB Capital B.V.
5493002Y01YAFV45F528;ABB Finance (USA) Inc.
5493000LKVGOO9PELI61;ABB Ltd.
549300DAQ1CVT6CXN342;Novo Nordisk A/S
TP9WEQL6JOF6GP647G47;Central Hudson Gas & Electric Corp.
6RW0L752VAVTPZF36F02;Hewlett-Packard International Bank PLC
WHKXQACZ14C5XRO8LW03;HP Inc.
SW8I7YA7RW06V8NH5O41;New Jersey Natural Gas Co.
HL3H1H2BGXWVG3BSWR90;Philip Morris International Inc.
5493008F1W8QJ9XTFC96;Occidental Chemical Corp.
IM7X0T3ECJW4C1T7ON55;Occidental Petroleum Corp.
JV2JER17NREZV7X2CW05;MountainWest Pipeline, LLC
54930073EOGSPR8HDH46;Questar Gas Co.
5493007M02M6CT9EXE41;Northern Natural Gas Co.
54930088VDQ6840Y6597;Hubbell Inc.
549300Y8RLCD6IQXIT35;Colonial Pipeline Co.
549300Z5D1R2TLZIUT76;LOOP LLC
724500XBZ9QOPTI11U82;Alliander N.V.
QU1REPBU7XVW5MIAXS70;Boeing Capital Corp.
RVHJWBXLJ1RFUBSY1F30;Boeing Co.
9C1X8XOOTYY2FNYTVH06;General Dynamics Corp.
ISRPG12PN4EIEOEMW547;Honeywell International Inc.
25490049XZ5AJBFQT103;DEXUS Wholesale Property Fund
MP3J6QPYPGN75NVW2S34;Kimberly-Clark Corp.
529900FOTM78R9Q9NY89;BSH Hausgeraete GmbH
254900HUNKW9WEYT4J58;Toronto Hydro Corporation
549300FMC2ALGA7N9E80;Dover Corp.
5299008QCD0YDT5OF506;Shiseido Company, Limited
549300873K3LXF7ARU34;Brown-Forman Corp.
549300ZHW0TR2QZ0NY83;Omron Corp.
7245009Q5867Q0YC9Q13;Enexis Holding N.V.
K8TS3HOE1568DUBUJL44;KeySpan Gas East Corp.
83BQ1DXS6VA5GZFK8S35;The Brooklyn Union Gas Company
549300GGJCRSI2TIEJ46;Nucor Corp.
WPTL2Z3FIYTHSP5V2253;ConocoPhillips
6VJJ5GQWIRDQ06DUXG89;ConocoPhillips Co.
549300PWHWL5YWS7ON87;Cooper Industries PLC
5493004SYEPWK96UXQ46;Eaton Electric Holdings LLC
254900K14153NMZ1WD12;Hydro Ottawa Holding Inc.
549300B8RMOTK5QZWT61;BP America Production Co.
549300I2A60VQH7OB113;BP Company North America Inc.
549300GMUCJ08527GQ81;BP Corporation North America Inc.
213800LH1BZH3DI6G760;BP PLC
549300YYMNSW7KWZH127;BP Products North America Inc.
549300CEE2ENIUJNXB84;Toyota Tsusho Corporation
0RL818ELFOHP5JHOFU19;Alabama Power Co.
D981X4Z4RWS7PDMJUZ03;Georgia Power Co.
BLVY3B5CY5IDPCFLQ577;Gulf Power Co.
LNZ0J6YZ5SC6ILIRU850;Mississippi Power Co.
549300FC3G3YU2FBZD92;Southern Co.
549300QE8CNT261U1W16;Southern Co. Services Inc.
5493002DGRU2CP8MZE54;Southern Electric Generating Co.
9884007ER46L6N7EI764;Samsung Electronics Co. Ltd.
724500XSMG4AYQ8NDK42;Royal Schiphol Group N.V.
724500DX7Q1A19SPY530;Schiphol Nederland B.V.
549300BFP7RYQHSLX485;E.ON Sverige AB
5493002W8WQVR23VZ510;E.ON Energy Solutions Ltd.
54930033NVZ42A64JU25;E.ON U.K. PLC
UE2136O97NLB5BYP9H04;McDonald's Corp.
5493003MO7QE8VJUEP94;Sigma-Aldrich Corp.
529900H5794LNXNOYH10;Connecticut Water Service Inc.
549300NXSY15DRY2R511;Spire Inc.
06LJQCOVPRXOPDHFC707;Spire Missouri Inc.
5493004LQ0B4T7QPQV17;Komatsu Ltd.
549300T5RZ1HA5HZ3109;Vattenfall AB
724500SNT1MK246AHP04;Koninklijke DSM N.V.
V1LV067AJN766PCJIG11;BG Energy Holdings Ltd.
Z15BMIOX8DDH0X2OBP21;Sherwin-Williams Co.
EDBQKYOPJUCJKLOJDE72;Caterpillar Financial Services Corp.
WRJR7GS4GTRECRRTVX92;Caterpillar Inc.
549300EFP3TNG7JGVE49;Coca-Cola HBC AG
ZU69GUVJQGZ6Z1UOOO79;Linde Inc.
988400NHF9284ALPTQ62;Korea Mine Rehabilitation and Mineral Resources Corporation
9884005ACF8449EANY26;KT Corp.
549300JWGMJO03H0G857;Caribbean Utilities Co. Ltd.
549300VDRGYGX9NBTB52;Korea East-West Power Co. Ltd.
988400QG33WS7JEIV602;Korea Electric Power Corp.
988400TFZILHBD5M3R71;Korea Gas Corp.
9884008CRY5MLCN8OQ43;Korea Hydro & Nuclear Power Co. Ltd.
988400Z1HCY1QUPS1W65;Korea Midland Power Co., Ltd.
988400L19KVH3DIO8255;Korea South East Power Co. Ltd.
9884001B6VSIQS4ZY558;Korea Southern Power Co. Ltd.
988400RVE88N2VK8UE98;Korea Western Power Co. Ltd.
529900XUE70U36QX5M62;Link Real Estate Investment Trust
549300IBJ0QJU1E0GW56;St. Jude Medical Inc.
529900TRW25C535YJ717;Energie Steiermark AG
6I24RUKVDSWEO85W2995;Questar Corp.
82DYEISM090VG8LTLS26;Ecolab Inc.
635400IUIZZIUJSAMF76;Fortum Oyj
549300LMZF40TKJ6DM64;Public Storage
254900D0M2CSOE12DG59;P.M.I. Trading DAC
549300DJ09SMTO561131;Stanley Black & Decker Inc.
549300XS4HD3R8MDYK78;Bard (C.R.) Inc.
635400U7OLFPQE8EBK21;Wagram Insurance Co. Ltd.
213800UNJSVQFNUYYW03;Abu Dhabi National Energy Company PJSC
VXB4M3BDPKF3I2AZ3G89;Piedmont Natural Gas Co. Inc.
5299005SPZ1QYL51JD25;ATCO Ltd.
LWV4QIQODEH3VBHUFX07;Canadian Utilities Ltd.
549300N7TTF71B34GI65;CU Inc.
7260JQNI6SCF9FIV2392;TWDC Enterprises 18 Corp.
98840035IHSMZZ2TP220;Korea Water Resources Corporation
