lei;rics
969500X7E3U7ZNH95E23;NA
549300CAZYIH39SYQ287;FNF
2138008454BAUY9V5D97;NA
529900LCYFGV3LZPWH72;NA
529900CAYOWB8YIG7X25;NA
549300MUQ1U3FERPZV92;NA
549300K2KYM8O9I1R885;NA
549300ST1VO2Z4YCSO49;VKSC.PK
52990016II9MJ2OSWA10;CBRE.K
254900S6K5I3OISPS518;NA
635400OJKGA5UDUBR183;NA
213800OE8AO24JZSWP42;NA
DYTQ8KRTKO7Y2BVU5K74;KDP.O
529900298UVRWERN3864;NA
529900873FHM6CZSOC88;NA
2549001JQBGDT0WEQ156;NA
5493006OSO3M1UC12172;NA
213800J3CJPWXEB8PF90;NA
5493002YB4LSO97BF704;NA
724500FLODI49NSCIP70;TE.PA
96950041VJ1QP0B69503;NA
549300TTV5JZ3JI14H31;SQI.O^G16
549300T83AY98PGSCS60;NA
529900RJ87WUJ2OAO847;NA
549300LL2QMPTYIE0K55;NA
213800VMN3ZHGO29K923;NA
549300HYMKPTC1DTZS42;0754.HK
52990002AOJ5QYHRDS24;NA
549300B9SB9UYWBNKK81;NA
213800LS272L4FIDOH92;CTEC.L
2138007YQFTUALU3GX55;NA
529900JP2MKXUBBSBT51;NA
54930008WMTTQIIUTR39;NA
549300P7J8F3SSMY3E81;KODK.K
549300E5HLI73FHTOL03;NA
549300XKZR0LQQQG0F20;NA
549300BAFGM4RC74ZJ94;TEVA.TA
549300I2464NH0LEIU08;NA
529900AXMIMC6C3K9F07;NA
5493004P4HMCGZ2OY093;NA
5493007EO7JOPWXHBJ27;NA
549300DI3Q5ACSYJRI17;OPCH.O
549300I1QNR7NYEXQI54;NA
529900HYBLIFVEIKBN96;NA
549300GYPA73CA50SO84;NA
549300BIJKT86CPCKK96;NA
549300FAEB3VWZL4NI86;NA
815600522538355AE429;BFF.MI
529900ZIF78FSY4ZT673;NA
254900HM1ABRDJ7T5718;GNE.NZ
6HL0C5LCIE4TN8UZHL06;TCP^C21
529900UQFAS5JRV90C11;NA
5W8K24Y84A8K2MB4J830;NA
9695004UZUXJ87SG4V19;NA
549300MUW60SFUO8RP23;NA
2549000KTINB9ZPZP710;1233.HK
549300HCTLFXKYM43E80;NA
5493001E54CPRG5J5Q41;SCOTIAC1.LM
529900DB1FYHSPU1LN76;NA
969500215GH3JAORAV11;NA
549300Y7P7HRP777BS23;NA
549300HFEHJOXGE4ZE63;NA
YU2OTEBLKA8XGACE1M74;NA
724500MKKXKEVWMN9E13;NA
5493008F4ZOQFNG3WN54;NEP
5493005V5BF7R1N1UT61;NA
52990073W025XBYL7N92;NA
254900GUXQAQB065PM73;PWON.JK
213800791EF5XP7WW494;NA
5493001U0CUHEWXZ3J14;NA
543I7OI272GC21DVT022;NA
254900QSA9ZIGO5F5S30;WEB.O^J18
549300C1F8OLYSOQYB65;HCLT.NS
549300PSXEKU4PHLCR04;QRTEA.O
549300WBFN23L9HI5N68;NYNY.O^K19
529900YP8BRYZ4QL5W06;NA
549300K276KVW5JD1583;TPCG.O^L12
5299009A6ZY3AIDP5474;NA
222100EYB9HNJPI80514;PLY.WA^D21
